Area	Gender	ID (filenames - use ; for multiple items)	Item	Design	Category	Color	Perfect Match	Terrible Match	color match	design match	Icon	Display Name		Image Link
Top	Female	Female_Shirt_12_Torso	Spaghetti Strap Shirt	Sport;Comfy	Informal	Black			All	Sport;Comfy	Female_Shirt_12_Icon	Spaghetti Strap Shirt		
Top	Female	Female_Shirt_03_Torso; Female_Shirt_03_Arm_Top; Female_Shirt_03_Arm_Bot	Pink Deep V	Trendy	Informal; Casual	Pink			All;-Pink	Trendy	Female_Shirt_03_Icon	Pink Deep V		
Top	Female	Female_Shirt_04_Torso; Female_Shirt_04_Arm_Top	T-shirt	Messy	Casual	White					Female_Shirt_04_Icon	T-shirt		
Top	Female	Female_Shirt_16_Torso; Female_Shirt_16_Arm_Top	Team T-Shirt	Sports;Comfy	Informal	Black and Yellow			All	Sports	Female_Shirt_16_Icon	Team T-Shirt		
Top	Female	Female_Shirt_07_Torso	Striped Sleeveless Shirt	Modern	Business Casual	Black;White			All	Modern	Female_Shirt_07_Icon	Striped Sleeveless Shirt		http://women-outfits.com/wp-content/uploads/2015/05/8-business-casual-women-outfits-to-copy-right-now3.jpg
Top	Female	Female_Shirt_09_Torso	Green Sleeveless Button Up	Trendy	Casual;Business Casual	Green			White	Trendy	Female_Shirt_09_Icon	Green Sleeveless Button Up		http://ak1.ostkcdn.com/images/products/10078597/P17221720.jpg
Top	Female	Female_Shirt_13_Torso; Female_Shirt_13_Arm_Top	Striped Short Sleeved Button Shirt	Comfy	Casual;Business Casual	White;Yellow			All;-yellow;-green;-purple	Comfy;Trendy	Female_Shirt_13_Icon	Striped Short Sleeved Button Shirt		https://www.google.com/search?es_sm=93&biw=1517&bih=714&tbm=isch&sa=1&q=belly+button+shirts&oq=belly+button+shirts&gs_l=img.3..0l2j0i5i30j0i8i30.525384.530898.0.531021.19.19.0.0.0.0.140.1716.13j5.18.0....0...1.1.64.img..1.18.1710.slfeoHFJfms#imgrc=A6tUMeI_tioCjM%3A
Top	Female	Female_Shirt_08_Torso; Female_Shirt_08_Arm_Top; Female_Shirt_08_Arm_Bot	Pink Striped Button Up	Classic	Business Casual	Pink			All; -Pink		Female_Shirt_08_Icon	Pink Striped Button Up		https://fashionapparel2012.files.wordpress.com/2012/07/button3.jpg
Top	Female	Female_Shirt_10_Torso; Female_Shirt_10_Arm_Top	Red Collared Shirt	Prep	Business Casual	Red			Brown;Khaki;Blue;Navy;White	Prep;Modern	Female_Shirt_10_Icon	Red Collared Shirt		
Top	Female	Female_Shirt_15_Torso; Female_Shirt_15_Arm_Top	Sports Jacket	Sports	Informal	Blue			All	Sports	Female_Shirt_15_Icon	Sports Jacket		
Top	Female	Female_Shirt_06_Torso; Female_Shirt_06_Arm_Top; Female_Shirt_06_Arm_Bot	Light Brown Blazer	Classic	Business Casual;Business Professional	Light Brown			Blue; Green; Gray; White; Black; Red		Female_Shirt_06_Icon	Light Brown Blazer		https://s-media-cache-ak0.pinimg.com/736x/c4/b8/be/c4b8be97cd73e599645be7658a54b9ff.jpg
Top	Female	Female_Shirt_02_Torso; Female_Shirt_02_Arm_Top; Female_Shirt_02_Arm_Bot	Black Suit	Classic	Business Professional	Black			All; -Black	Classic	Female_Shirt_02_Icon	Black Suit		
Top	Female	Female_Shirt_11_Torso; Female_Shirt_11_Arm_Top; Female_Shirt_11_Arm_Bot	Grey Blazer & White Button Up 	Classic	Business Professional	Grey			All	Classic	Female_Shirt_11_Icon	Grey Blazer & White Button Up 		
Top	Female	Female_Shirt_05_Torso; Female_Shirt_05_Arm_Top; Female_Shirt_05_Arm_Bot	Purple Suit	Smart	Business Professional	Purple			Pink;Blue;Green;Orange;Red;Black;White	Smart	Female_Shirt_05_Icon	Purple Suit		
Top	Female	Female_Shirt_14_Torso; Female_Shirt_14_Arm_Top; Female_Shirt_14_Arm_Bot	Blue Blazer	Smart	Business Casual;Business Professional	Blue			Brown;Black;Gray	Smart;Modern	Female_Shirt_14_Icon	Blue Blazer		
Shoes	Female	Female_Shoe_04	Black Hightop Sneakers - F	Sport	Informal	Black;White					Female_Shoe_04_Icon	Black Hightop Sneakers		
Shoes	Female	Female_Shoe_03	Blue Cotton Flats	Comfy	Casual	Blue					Female_Shoe_03_Icon	Blue Cotton Flats		
Shoes	Female	Female_Shoe_06	Wrapped Heels	Fancy	Casual	Black					Female_Shoe_06_Icon	Wrapped Heels		
